뚜레쥬르 지점,뚜레쥬르 경산옥곡,뚜레쥬르 경산정평,뚜레쥬르 경주중앙,뚜레쥬르 경주충효서라벌중앙,뚜레쥬르 구미형곡중앙,뚜레쥬르 김천부곡센트럴,뚜레쥬르 문경중앙,뚜레쥬르 안동정하,뚜레쥬르 옥동호반,뚜레쥬르 영주가흥제일,뚜레쥬르 영천망정,뚜레쥬르 도청신도시,뚜레쥬르 경북울진,뚜레쥬르 경북청도,뚜레쥬르 포항유강,뚜레쥬르 포항이동,뚜레쥬르 포항자이,뚜레쥬르 포항중앙,뚜레쥬르 울산신정현대,뚜레쥬르 울산무거,뚜레쥬르 울산야음롯데,뚜레쥬르 울산전하동,뚜레쥬르 울산방어,뚜레쥬르 울산지웰자이,뚜레쥬르 울산명촌,뚜레쥬르 울산반구강변,뚜레쥬르 울산유곡혁신,뚜레쥬르 대구대봉,뚜레쥬르 대구용산,뚜레쥬르 대구본리,뚜레쥬르 월배삼정,뚜레쥬르 현풍테크노,뚜레쥬르 동대구해모로,뚜레쥬르 동대구더샵디어엘로,뚜레쥬르 복현GS,뚜레쥬르 침산명성푸르지오,뚜레쥬르 서대구센트럴자이,뚜레쥬르 대구신평리,뚜레쥬르 수성3가캐슬,뚜레쥬르 대구달성공원역
순진 크림치즈빵,2900,2900,2900,2900,,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,,2900,2900,2900,,2900,,3100,2900,3100,3200,2900,2900,2900,2900,3100,2900,2900,2900,3000
남해 마늘로 만든 갈릭 퐁당 브레드(소),,3400,3400,,,,,3400,3400,3400,,3400,,,,,,,,,,,,,,,,,,,3600,,,,,,3400,,3400,
남해 마늘로 만든 갈릭 퐁당 브레드(대),,,,,,,,,5800,5800,,5800,,,,5800,,,,,,,,,,,,,,,6800,,,,,,,,,
크림치즈 호두 과자빵,,,,,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소금버터롤,2800,2800,,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2900,2800,2800,3100,2800,3000,3200,2800,2800,2800,2800,2800,2800,2800,2800,2800
소보로 만난 앙넛 3개입,,,,,,,,5100,,5100,,,,,5100,,5100,,5100,5100,5100,5100,,,,,,,5100,,,,,,,,,,5100,
겹겹이 초코퐁당,3800,,,,3800,,,3800,,3800,,,,3800,,,,,,,3800,,,,,,,,,,4100,3800,,,,,,3800,,
겹겹이 말차 퐁당,,,,,,,,,,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
깨찰빵,,,,,,,1800,1800,1800,,,,1800,,,1800,,,1800,,,,1800,,,,,,,1600,,,,,,,,,,
순꿀호떡,2700,2700,,,,2700,2700,2700,2700,2700,,,2700,,2700,2700,,2700,2700,,,,,2700,2700,2700,,2900,2700,2600,2900,2700,,,2700,,2700,2700,2700,
단팥빵,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2100,1900,2100,1900,1900,1900,1900,1900,2100,1900,1900,1900,1900
소보로빵,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2100,1900,2100,1900,1900,1900,1900,1900,2300,1900,1900,1900,1900
단팥소보로빵,,3000,3000,3000,3000,3000,3000,3000,3000,,,3000,,,3000,3000,,,3000,3000,,3000,,3000,3000,3000,3000,3500,3000,,,,3000,,3000,,3000,,3000,
오리지널 커피번,,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,,3300,3300,3300,3300,,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3600,3300,3500,3800,3300,3700,3300,3300,3300,3300,3300,3300,3300
