뚜레쥬르 지점,뚜레쥬르 충북음성,뚜레쥬르 제천하소로,뚜레쥬르 증평하나로마트,뚜레쥬르 진천성모병원,뚜레쥬르 청원내수,뚜레쥬르 청주용암현대,뚜레쥬르 청주용암부영,뚜레쥬르 청주모충,뚜레쥬르 청주율량,뚜레쥬르 청주가경,뚜레쥬르 청주테크노폴리스,뚜레쥬르 서충주파라뷰,뚜레쥬르 충주용산호암,뚜레쥬르 충북옥천,뚜레쥬르 충북금왕중앙
뚜쥬맘계란토스트(1/2),,3500,,,3500,,,,,,,,,3500,3500
치즈치즈번,,,,,,,,,,,,3500,,,
충남예산 쪽파&베이컨,,2900,,,,,,,2900,2900,,,,2900,
앙버터 소금버터롤,,4300,,,,4300,,,,,,,,,
잠봉뵈르 소금버터롤,,5200,,,,5200,,,,,,4300,,,
초코 퐁당 코르네,,,,,,,,,,,,5200,,,
크림코르네,,,,,,,,,,,,,,,
카라멜러스크,,,,,,,,,,,,,,,
리코타 그릴치킨 샐러드,,,,,,8400,,,,,,,,,
햄&포테이토 샐러드 샌드위치,7400,,7400,7400,7400,7400,8400,,,7400,,,,7400,
크랜베리치킨 샌드위치,,,,,,,,,,,,,7200,,7200
썸머타코 치킨 샐러드,,,,,,,,,,,,,,,
레드타코치킨 샌드위치,7000,,,,,,,7000,7000,7000,,,,7000,7000
TLJ 치킨클럽 샌드위치,,,,,,,7000,,,,,,,,
통밀레드치킨 샌드위치,,,,,,,,,,,,,,,
머쉬룸불고기샐러드,,,,,,8300,,,,,,7000,,,
치킨 텐더 샐러드,,,,,,,,,,,,,,,
72겹의 정성 데니쉬 식빵,,6500,,,,,,,,6500,,,,,
폭신폭신 모닝롤 (8개입),,,,,,,,,,,,,,,
연유퐁당밀크브레드(소),,3200,,,,,,,3200,3200,3200,,3200,,
생크림 크라상,,,,,,,3200,,,,,3200,,,
생크림소보로,,,,,,,,,,,,,,,
연유크림만난단팥빵,,,,,,,,,,,,,,,
쑥이 듬뿍 맘모스(대),,5900,,5900,,,,,,,,,,,
매직모카크림빵,,,,,5900,5900,,,,,,,5900,,
사르르 우유크림빵,,,,,,,,,,,,5900,,,
갈릭 치즈바게트,4200,,4200,4200,,4200,,,,,,,,,
피자바게트,,4700,,,4700,,4200,,,,,4200,,,
휭거마드레느,,,,,,,,,,,,4700,,,
프랑스바게트,,,,,,,,,,,,,,,
겉바속촉 꿀버터 바게트,,3300,,,,,,3300,,,,,,,
마늘빵,,,,,,,,,,,,,,,
한입두입미니단팥빵,,,,,,,,,,,,,,,
남해 마늘로만든 버터 갈릭꽈배기,,,,,,,,,,,,,,,
남해 마늘로 만든 버터 갈릭 꽈배기,,3300,,,,,,,,3300,,,,,
초코마카롱도넛,2200,,2200,2200,2200,2200,,,2200,2200,2200,,2200,2200,
딸기마카롱도넛,,,,,,2200,2200,,2200,2200,,2200,2200,,6900
피크닉 튜나 샌드위치,3300,,,,3300,,2200,,,,,2200,6900,,3300
후랑크 패스트리,,,,,,3300,,,,3300,,,,,
고단백치킨&아보카도샌드위치,,7500,,,,,,,,,,3300,,7500,7500
고단백치킨페스토곡물샌드위치,,7500,,,,7500,,,,,,,,6900,
통밀 튜나샌드위치,,,,,,,,6900,,6900,,,,,
그릴치킨 오렌지 샐러드,,10500,,3000,3000,,,,,,,,,,
2배 더 진해진 순진 우유식빵 (half),,,,,,,,,,,,10500,,,
쌀모닝 바게트 (2개입),,4500,,,,,,,,,,,,,
메이플피칸크림치즈베이글(월넛),,4300,,,2900,,,,,,,,,,
블루베리 크림치즈,,2900,6500,,,,,,2900,2900,2900,,,,
뚜쥬맘계란토스트,3500,6500,3500,3500,3500,,2900,,,,,,,,3500
충남예산쪽파 송송 고로케,,3500,,,,,,3500,,3500,,,3500,,
말차 퐁당 코르네,,2800,,,,,,,,,,3500,,3200,
트러플 소금버터롤,,3200,,,,3200,,,,,,2800,,,
쉬림프에그마요샌드위치,,7300,4500,,,7300,,,7300,,,,,,
겹겹이 데니쉬,,4500,,,2600,4500,,,,,,,4500,,
메이플피칸크림치즈,,2600,,,,,,,2600,,,,,,
까망쿠키 속 리얼말차크림빵,,3900,,,,,,,,,,,,5100,
고단백하루견과스틱,,3600,,,,,,,,,,,,,
고단백허니러스크,,4200,,,,,,,,,,,,,
쉬림프에그마요샌드위치 (1/2),,4500,,,,,,,,,,,,,
